pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
KOI-217 b,KOI-217,0,1,1,Transit,2010,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.90508198,0.00000021,-0.00000021,0,,,,,13.080,0.280,-0.250,0,1.167,0.025,-0.022,0,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5525.00,61.13,-58.24,0,0.88,0.02,-0.02,0,0.97,0.02,-0.02,0,0.120,0.077,-0.083,0,[Fe/H],4.53,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m27.71s,294.8654667,+46d17m08.93s,46.2858128,914.6990000,17.1675000,-17.1675000,15.2570000,0.0690000,-0.0690000,13.4690000,0.0400000,-0.0400000,15.1013000,0.0004820,-0.0004820,2016-05-06 09:25:07,2016-05,2016-05-10
KOI-217 b,KOI-217,1,1,1,Transit,2010,Kepler,Published Confirmed,0,<a refstr=HOWELL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1010.4106H/abstract target=ref> Howell et al. 2010 </a>,3.90512000,0.00005000,-0.00005000,0,0.047700,0.000700,-0.000700,0,12.442,0.224,-0.224,0,1.110,0.020,-0.020,0,,,,,,,,,,0.000000,,,0,,,,,,,,,1,<a refstr=HOWELL_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1010.4106H/abstract target=ref> Howell et al. 2010 </a>,5545.00,,,0,0.86,0.02,,0,0.95,0.05,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m27.71s,294.8654667,+46d17m08.93s,46.2858128,914.6990000,17.1675000,-17.1675000,15.2570000,0.0690000,-0.0690000,13.4690000,0.0400000,-0.0400000,15.1013000,0.0004820,-0.0004820,2014-05-14,2010-12,2014-05-14
Kepler-1002 b,Kepler-1002,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.33642933,0.00000695,-0.00000695,0,,,,,1.710,0.060,-0.050,0,0.153,0.005,-0.004,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6144.00,47.25,-61.08,0,1.57,0.05,-0.04,0,1.22,0.05,-0.05,0,0.040,0.070,-0.057,0,[Fe/H],4.13,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h32m19.07s,293.0794629,+43d04m25.24s,43.0736770,408.3030000,,,11.8210000,0.0220000,-0.0220000,10.3740000,0.0210000,-0.0210000,11.6475000,0.0003230,-0.0003230,2016-05-06 09:17:40,2016-05,2016-05-10
Kepler-1003 b,Kepler-1003,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.55485691,0.00000671,-0.00000671,0,,,,,1.780,0.480,-0.220,0,0.159,0.043,-0.020,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6109.00,150.04,-195.29,0,1.17,0.32,-0.15,0,1.11,0.13,-0.08,0,0.010,0.140,-0.172,0,[Fe/H],4.35,0.09,-0.17,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m04.90s,292.0204349,+44d52m34.47s,44.8762427,941.9020000,15.4545000,-15.4545000,14.1320000,0.0690000,-0.0690000,12.6230000,0.0280000,-0.0280000,14.0225000,0.0002250,-0.0002250,2016-05-06 09:17:41,2016-05,2016-05-10
Kepler-1004 b,Kepler-1004,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.28789787,0.00001198,-0.00001198,0,,,,,6.280,0.780,-0.440,0,0.560,0.070,-0.039,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4972.00,52.30,-39.52,0,3.39,0.28,-0.22,0,1.11,0.18,-0.12,0,-0.040,0.023,-0.031,0,[Fe/H],3.43,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m26.24s,297.3593427,+49d47m51.17s,49.7975464,1152.6800000,35.6700000,-35.6700000,13.7050000,0.0800000,-0.0800000,11.0600000,0.0140000,-0.0140000,13.3998000,0.0002720,-0.0002720,2016-05-06 09:17:41,2016-05,2016-05-10
Kepler-1005 b,Kepler-1005,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6.49801525,0.00001320,-0.00001320,0,,,,,1.500,0.210,-0.150,0,0.134,0.019,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5782.00,68.03,-67.92,0,1.06,0.15,-0.10,0,1.00,0.04,-0.04,0,0.020,0.089,-0.103,0,[Fe/H],4.38,0.09,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m08.62s,286.2858998,+43d19m13.83s,43.3205085,567.8060000,4.3890000,-4.3890000,13.3710000,0.1370000,-0.1370000,11.7180000,0.0140000,-0.0140000,13.1838000,0.0002400,-0.0002400,2016-05-06 09:17:42,2016-05,2016-05-10
Kepler-1006 b,Kepler-1006,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,19.76172042,0.00006670,-0.00006670,0,,,,,1.540,0.270,-0.140,0,0.137,0.024,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5328.00,180.84,-112.84,0,0.74,0.09,-0.06,0,0.78,0.07,-0.06,0,-0.400,0.237,-0.189,0,[Fe/H],4.59,0.04,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h43m01.01s,295.7542063,+42d32m14.30s,42.5373065,,,,14.4670000,0.2060000,-0.2060000,12.5020000,0.0240000,-0.0240000,,,,2016-05-06 09:17:43,2016-05,2016-05-10
Kepler-1007 b,Kepler-1007,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.18500207,0.00000932,-0.00000932,0,,,,,1.440,0.070,-0.070,0,0.128,0.006,-0.006,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4587.00,88.05,-98.48,0,0.70,0.03,-0.03,0,0.73,0.03,-0.04,0,0.030,0.152,-0.160,0,[Fe/H],4.62,0.02,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h43m37.57s,295.9065297,+45d48m32.72s,45.8090893,,,,14.9810000,0.0340000,-0.0340000,12.2240000,0.0160000,-0.0160000,14.7347000,0.0009570,-0.0009570,2016-05-06 09:17:43,2016-05,2016-05-10
Kepler-1009 b,Kepler-1009,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,11.35011917,0.00002250,-0.00002250,0,,,,,2.170,0.270,-0.240,0,0.194,0.024,-0.021,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4027.00,41.14,-36.46,0,0.57,0.02,-0.02,0,0.59,0.02,-0.03,0,-0.120,0.091,-0.107,0,[Fe/H],4.70,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h51m26.37s,282.8598614,+42d39m57.00s,42.6658336,355.0190000,8.1690000,-8.1690000,15.7580000,0.1030000,-0.1030000,12.3470000,0.0230000,-0.0230000,15.3014000,0.0004060,-0.0004060,2016-05-06 09:17:45,2016-05,2016-05-10
Kepler-1010 b,Kepler-1010,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,34.26857050,0.00011810,-0.00011810,0,,,,,2.320,0.440,-0.180,0,0.207,0.039,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5253.00,67.75,-80.75,0,0.82,0.05,-0.04,0,0.86,0.04,-0.04,0,-0.010,0.155,-0.164,0,[Fe/H],4.55,0.03,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m46.22s,289.1926026,+44d08m57.54s,44.1493165,579.2730000,7.1715000,-7.1715000,14.9640000,0.1830000,-0.1830000,12.7710000,0.0240000,-0.0240000,14.6875000,0.0002960,-0.0002960,2016-05-06 09:17:45,2016-05,2016-05-10
